,,,,,,,,,,,,,,,,,,,,
,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,,,,,
,Player,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,FMVP,,Player,Lg,Count
,Tom Heinsohn\heinsto01,1957,1965,654,29.4,18.6,8.8,2,,,0.405,,0.79,60,0.15,,,,,
,Bernard King\kingbe01,1978,1993,874,33.7,22.5,5.8,3.3,1,0.3,0.518,0.172,0.73,75.4,0.123,,,,,
,Bill Sharman\sharmbi01,1951,1961,711,32,17.8,3.9,3,,,0.426,,0.883,82.8,0.178,,,,,
,Paul Arizin\arizipa01,1951,1962,713,38.4,22.8,8.6,2.3,,,0.421,,0.81,108.8,0.183,,,,,
,Lenny Wilkens\wilkele01,1961,1975,1077,35.3,16.5,4.7,6.7,1.3,0.2,0.432,,0.774,95.5,0.12,,,,,
,Alonzo Mourning\mournal01,1993,2008,838,31,17.1,8.5,1.1,0.5,2.8,0.527,0.247,0.692,89.7,0.166,,,,,
,Bill Walton\waltobi01,1975,1987,468,28.3,13.3,10.5,3.4,0.8,2.2,0.521,0,0.66,39.3,0.142,1,,,,
,Neil Johnston\johnsne01,1952,1959,516,35.5,19.4,11.3,2.5,,,0.444,,0.768,92,0.241,,,,,
,Dave DeBusschere\debusda01,1963,1974,875,35.7,16.1,11,2.9,0.9,0.5,0.432,,0.699,60.8,0.093,,,,,
,Paul Pierce\piercpa01,1999,2017,1343,34.2,19.7,5.6,3.5,1.3,0.6,0.445,0.368,0.806,150,0.157,1,,,,
,Joe Dumars\dumarjo01,1986,1999,1018,34.5,16.1,2.2,4.5,0.9,0.1,0.46,0.382,0.843,86.2,0.118,1,,,,
,Ray Allen\allenra02,1997,2014,1300,35.6,18.9,4.1,3.4,1.1,0.2,0.452,0.4,0.894,145.1,0.15,,,,,
,Chris Webber\webbech01,1994,2008,831,37.1,20.7,9.8,4.2,1.4,1.4,0.479,0.299,0.649,84.7,0.132,,,,,
,Ed Macauley\macaued01,1950,1959,641,35.7,17.5,7.5,3.2,,,0.436,,0.761,100.4,0.196,,,,,
,Alex English\englial01,1977,1991,1193,31.9,21.5,5.5,3.6,0.9,0.7,0.507,0.217,0.832,100.7,0.127,,,,,
,Adrian Dantley\dantlad01,1977,1991,955,35.8,24.3,5.7,3,1,0.2,0.54,0.171,0.818,134.2,0.189,,,,,
,Artis Gilmore\gilmoar01,1977,1988,909,32.7,17.1,10.1,2,0.5,1.9,0.599,0.077,0.713,107.4,0.174,,,,,
,Cliff Hagan\hagancl01,1957,1966,745,29.2,18,6.9,3,,,0.45,,0.798,75.1,0.166,,,,,
,Dwight Howard\howardw01,2005,2021,1149,33,16.4,12.1,1.4,0.9,1.9,0.586,0.165,0.565,135.6,0.172,,,,,
,Tim Hardaway\hardati01,1990,2003,867,35.3,17.7,3.3,8.2,1.6,0.1,0.431,0.355,0.782,85,0.133,,,,,
,Chris Mullin\mullich01,1986,2001,986,32.6,18.2,4.1,3.5,1.6,0.6,0.509,0.384,0.865,93.1,0.139,,,,,
,Mitch Richmond\richmmi01,1989,2002,976,35.2,21,3.9,3.5,1.2,0.3,0.455,0.388,0.85,79.3,0.111,,,,,
,Sidney Moncrief\moncrsi01,1980,1991,767,30.2,15.6,4.7,3.6,1.2,0.3,0.502,0.284,0.831,90.3,0.187,,,,,
,Bob Dandridge\dandrbo01,1970,1982,839,35.2,18.5,6.8,3.4,1.3,0.6,0.484,0.167,0.78,80.3,0.131,,,,,
