Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
446,Gary Trent Jr.\trentga02,SG,22,POR,33,20,31.2,5.5,13.1,.423,3.1,7.5,.406,2.5,5.6,.446,.539,1.1,1.4,.778,0.6,1.6,2.2,1.5,0.8,0.2,0.7,1.6,15.2
447,P.J. Tucker\tuckepj01,PF,35,HOU,32,32,30.0,1.5,4.1,.366,0.8,2.7,.314,0.7,1.4,.467,.469,0.6,0.7,.783,1.0,3.6,4.6,1.4,0.9,0.6,1.0,2.8,4.4
448,Myles Turner\turnemy01,C,24,IND,33,33,31.5,4.7,9.8,.484,1.5,4.6,.314,3.3,5.1,.639,.559,2.5,3.3,.778,1.4,5.2,6.5,0.9,1.0,3.4,1.4,3.5,13.5
449,Jonas Valančiūnas\valanjo01,C,28,MEM,27,26,27.1,6.3,11.7,.539,0.4,1.0,.357,6.0,10.7,.557,.555,2.5,3.3,.756,3.4,7.9,11.3,1.7,0.6,0.6,2.1,3.1,15.6
450,Denzel Valentine\valende01,SG,27,CHI,30,3,19.7,3.1,8.3,.375,1.6,4.7,.348,1.5,3.6,.411,.474,0.2,0.2,1.000,0.4,3.7,4.1,1.8,0.7,0.0,0.6,1.2,8.0
451,Jarred Vanderbilt\vandeja01,PF,21,MIN,34,17,19.2,2.5,4.1,.612,0.0,0.1,.500,2.5,4.0,.613,.615,1.0,1.9,.556,1.8,3.9,5.7,1.5,1.1,0.6,1.0,2.1,6.1
452,Fred VanVleet\vanvlfr01,SG,26,TOR,34,34,36.7,6.6,16.6,.400,3.4,8.8,.383,3.3,7.9,.419,.501,3.5,3.9,.894,0.7,3.8,4.4,6.6,1.7,0.8,2.0,2.4,20.1
453,Devin Vassell\vassede01,SF,20,SAS,26,1,17.3,1.9,4.8,.397,1.0,2.4,.397,1.0,2.4,.397,.496,0.7,0.8,.857,0.6,2.6,3.2,1.1,1.1,0.3,0.5,1.2,5.5
454,Gabe Vincent\vincega01,PG,24,MIA,25,5,15.0,2.1,5.7,.364,0.9,3.6,.258,1.2,2.2,.537,.444,0.8,0.8,.905,0.1,1.0,1.1,1.2,0.5,0.1,0.8,1.8,5.8
455,Noah Vonleh\vonleno01,PF,25,BRK,4,0,2.8,0.0,0.8,.000,0.0,0.5,.000,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.5,0.5,0.0
456,Nikola Vučević\vucevni01,C,30,ORL,36,36,33.9,9.9,20.4,.483,2.7,6.5,.412,7.2,13.9,.516,.548,2.2,2.6,.851,1.9,9.7,11.6,3.7,1.0,0.6,1.7,1.7,24.6
457,Dean Wade\wadede01,PF,24,CLE,28,5,11.4,1.2,2.6,.446,0.8,1.9,.423,0.4,0.8,.500,.595,0.3,0.4,.667,0.5,1.7,2.1,0.6,0.2,0.2,0.4,0.8,3.4
458,Moritz Wagner\wagnemo01,C,23,WAS,22,11,14.3,2.5,4.8,.533,0.5,1.6,.343,2.0,3.2,.629,.590,1.5,2.0,.750,0.5,2.5,3.0,1.2,0.7,0.3,0.6,2.3,7.1
459,Kemba Walker\walkeke02,PG,30,BOS,20,20,30.0,6.2,15.9,.388,3.0,8.1,.366,3.2,7.8,.410,.481,3.2,3.5,.914,0.4,3.2,3.6,4.6,1.1,0.4,2.2,1.4,18.5
460,Lonnie Walker\walkelo01,SG,22,SAS,30,27,27.3,4.2,10.5,.402,1.8,4.9,.358,2.5,5.6,.440,.486,1.1,1.3,.800,0.2,2.7,2.9,1.8,0.5,0.4,1.1,2.1,11.3
461,John Wall\walljo01,PG,30,HOU,25,25,31.7,7.5,17.7,.424,2.0,6.0,.340,5.5,11.7,.468,.482,4.0,5.3,.744,0.4,2.8,3.2,6.0,0.9,0.7,3.3,1.2,21.0
462,Brad Wanamaker\wanambr01,PG,31,GSW,37,0,16.2,1.6,4.4,.358,0.4,1.5,.232,1.2,2.9,.425,.398,1.3,1.5,.891,0.2,1.5,1.7,2.7,0.7,0.2,0.9,1.4,4.8
463,T.J. Warren\warretj01,SF,27,IND,4,4,29.3,6.8,12.8,.529,0.0,1.8,.000,6.8,11.0,.614,.529,2.0,2.5,.800,0.5,3.0,3.5,1.3,0.5,0.0,1.0,4.0,15.5
464,P.J. Washington\washipj01,PF,22,CHO,31,31,29.4,4.4,9.8,.449,1.4,3.5,.385,3.1,6.3,.485,.518,2.3,2.9,.778,1.5,4.9,6.3,2.9,1.1,1.2,2.1,2.7,12.5
465,Yuta Watanabe\watanyu01,SF,26,TOR,22,1,12.2,0.9,2.7,.333,0.5,1.5,.364,0.4,1.2,.296,.433,0.4,0.4,1.000,0.8,2.4,3.2,0.4,0.4,0.5,0.4,1.0,2.7
466,Tremont Waters\watertr01,PG,23,BOS,10,1,9.8,1.0,3.1,.323,0.6,1.5,.400,0.4,1.6,.250,.419,0.7,0.8,.875,0.2,0.6,0.8,3.0,0.6,0.0,1.3,0.6,3.3
467,Paul Watson\watsopa01,SF,26,TOR,16,0,4.6,0.6,1.3,.500,0.6,1.1,.529,0.1,0.2,.333,.725,0.0,0.0,,0.1,0.8,0.9,0.1,0.0,0.1,0.1,0.6,1.8
468,Quinndary Weatherspoon\weathqu01,SG,24,SAS,5,0,4.8,0.2,1.0,.200,0.0,0.2,.000,0.2,0.8,.250,.200,0.4,0.4,1.000,0.0,0.4,0.4,0.6,0.2,0.0,1.2,1.4,0.8
469,Russell Westbrook\westbru01,PG,32,WAS,27,27,34.2,7.8,18.3,.428,1.1,3.8,.294,6.7,14.5,.463,.458,3.5,6.0,.583,1.6,8.1,9.7,9.8,1.1,0.3,4.8,2.9,20.3
470,Coby White\whiteco01,PG,20,CHI,34,34,33.2,5.9,14.1,.420,2.4,6.7,.354,3.5,7.4,.480,.504,2.0,2.3,.896,0.5,4.6,5.1,5.0,0.4,0.1,2.4,2.5,16.2
